"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"1","A",305,"M",303.75,"M",2.35,"M",3.52,0.77,3.05e+08,303750000,2350000
"2","AA",185.98,"M",184.4,"M",10.3,"M",-7.57,5.59,185980000,184400000,10300000
"3","AAIC",35.02,"M",32.58,"M",931462,NA,-0.64,2.86,35020000,32580000,931462
"4","AAIC.PRB",343839,NA,NA,NA,1970,NA,26.61,NA,343839,NA,1970
"5","AAIC.PRC",1.17,"M",NA,NA,2950,NA,5.17,NA,1170000,NA,2950
"6","AAN",33.78,"M",33.5,"M",552172,NA,-0.7,1.65,33780000,33500000,552172
"7","AAP",67.85,"M",65.2,"M",3.45,"M",-11.94,5.29,67850000,65200000,3450000
"8","AAT",60.47,"M",48.09,"M",1.05,"M",-0.43,2.19,60470000,48090000,1050000
"9","AB",98.32,"M",94.96,"M",563562,NA,257.74,0.59,98320000,94960000,563562
"10","ABB",NA,NA,2.03,"B",4.06,"M",13.78,0.2,NA,2.03e+09,4060000
"11","ABBV",1.77,"B",1.76,"B",14.28,"M",-4.01,0.81,1.77e+09,1.76e+09,14280000
"12","ABC",204.71,"M",147.37,"M",2.23,"M",-18.58,1.51,204710000,147370000,2230000
"13","ABEV",15.74,"B",NA,NA,65.15,"M",-13.56,NA,1.574e+10,NA,65150000
"14","ABG",19.29,"M",19.07,"M",2.1,"M",3.22,11.04,19290000,19070000,2100000
"15","ABM",67.08,"M",65.95,"M",1.14,"M",-0.86,1.72,67080000,65950000,1140000
"16","ABR",123.92,"M",116.21,"M",4.41,"M",-2.06,3.8,123920000,116210000,4410000
"17","ABR.PRA",1.55,"M",NA,NA,1580,NA,252.68,NA,1550000,NA,1580
"18","ABR.PRB",NA,NA,NA,NA,2452,NA,89.49,NA,NA,NA,2452
"19","ABR.PRC",NA,NA,NA,NA,1644,NA,149.47,NA,NA,NA,1644
"20","ABT",1.77,"B",1.76,"B",10.49,"M",-8.93,0.6,1.77e+09,1.76e+09,10490000
"21","AC",3.34,"M",3.24,"M",49566,NA,-2.18,1.53,3340000,3240000,49566
"22","ACA",48.27,"M",47.7,"M",468363,NA,-18.31,0.98,48270000,47700000,468363
"23","ACB",197.39,"M",195.87,"M",19.2,"M",-25.83,9.8,197390000,195870000,19200000
"24","ACC",137.63,"M",136.23,"M",2.51,"M",-7.34,1.84,137630000,136230000,2510000
"25","ACCO",94.5,"M",91.19,"M",3.34,"M",-12.21,3.66,94500000,91190000,3340000
"26","ACEL",91.78,"M",57.78,"M",2.78,"M",-1.68,4.82,91780000,57780000,2780000
"27","ACH",NA,NA,NA,NA,17278,NA,-55.3,NA,NA,NA,17278
"28","ACI",465.53,"M",236.47,"M",15.18,"M",4.32,6.42,465530000,236470000,15180000
"29","ACIC",50,"M",NA,NA,1.16,"M",1161.95,NA,5e+07,NA,1160000
"30","ACM",147.71,"M",145.73,"M",2.61,"M",-3.36,1.79,147710000,145730000,2610000
"31","ACN",661.14,"M",659.38,"M",4.71,"M",2.15,0.71,661140000,659380000,4710000
"32","ACND",41.4,"M",41.35,"M",297459,NA,183.56,0.72,41400000,41350000,297459
"33","ACRE",33.48,"M",30.3,"M",724058,NA,4.27,2.39,33480000,30300000,724058
"34","ADC",63.47,"M",62.41,"M",3.12,"M",0.22,5,63470000,62410000,3120000
"35","ADCT",76.72,"M",38.98,"M",4,"M",1.59,10.27,76720000,38980000,4e+06
"36","ADM",558.41,"M",555.48,"M",5.3,"M",27.68,0.95,558410000,555480000,5300000
"37","ADNT",94.17,"M",92.87,"M",2.93,"M",-2.27,3.15,94170000,92870000,2930000
"38","ADS",47.72,"M",46,"M",2.48,"M",15.64,5.4,47720000,4.6e+07,2480000
"39","ADT",761.1,"M",139.33,"M",14.16,"M",-14.48,10.16,761100000,139330000,14160000
"40","AEB",NA,NA,NA,NA,41869,NA,-11.25,NA,NA,NA,41869
"41","AEE",247.21,"M",251.44,"M",3.28,"M",-23.66,1.31,247210000,251440000,3280000
"42","AEFC",NA,NA,NA,NA,9046,NA,-38.96,NA,NA,NA,9046
"43","AEG",NA,NA,2.04,"B",2.71,"M",-4.35,0.13,NA,2.04e+09,2710000
"44","AEL",91.98,"M",93.98,"M",3.2,"M",-11.73,3.4,91980000,93980000,3200000
"45","AEL.PRA",NA,NA,NA,NA,6313,NA,23.18,NA,NA,NA,6313
"46","AEL.PRB",12,"M",NA,NA,18820,NA,20.27,NA,1.2e+07,NA,18820
"47","AEM",242.88,"M",242.11,"M",1.58,"M",-33.96,0.65,242880000,242110000,1580000
"48","AENZ",NA,NA,NA,NA,5387,NA,-56.45,NA,NA,NA,5387
"49","AEO",166.18,"M",150.42,"M",21.71,"M",-0.52,14.43,166180000,150420000,21710000
"50","AER",129.76,"M",125.53,"M",2.5,"M",-10.18,1.99,129760000,125530000,2500000
"51","AES",665.13,"M",663.24,"M",12.52,"M",13.44,1.89,665130000,663240000,12520000
"52","AFC",NA,NA,NA,NA,7775,NA,52.3,NA,NA,NA,7775
"53","AFG",87.2,"M",75.36,"M",1.04,"M",22.08,1.38,87200000,75360000,1040000
"54","AFGB",NA,NA,NA,NA,15961,NA,38.78,NA,NA,NA,15961
"55","AFGC",NA,NA,NA,NA,3204,NA,-83.02,NA,NA,NA,3204
"56","AFGD",6,"M",NA,NA,25088,NA,-18.19,NA,6e+06,NA,25088
"57","AFGE",8,"M",NA,NA,127327,NA,-5.53,NA,8e+06,NA,127327
"58","AFI",21.63,"M",20.64,"M",440966,NA,-11.39,2.14,21630000,20640000,440966
"59","AFL",688.59,"M",635.04,"M",7.06,"M",17.34,1.11,688590000,635040000,7060000
"60","AG",222.66,"M",210.97,"M",19.3,"M",-15.68,9.15,222660000,210970000,19300000
"61","AGCB",45,"M",NA,NA,11768,NA,-60.13,NA,4.5e+07,NA,11768
"62","AGCO",74.9,"M",61.08,"M",955553,NA,-28.24,1.56,74900000,61080000,955553
"63","AGI",392.78,"M",382.06,"M",2.75,"M",-14.16,0.72,392780000,382060000,2750000
"64","AGM",9.2,"M",8.97,"M",133245,NA,-8.03,1.48,9200000,8970000,133245
"65","AGM.A",1.03,"M",949280,NA,2933,NA,27.19,0.31,1030000,949280,2933
"66","AGM.PRC",NA,NA,NA,NA,616,NA,-38.77,NA,NA,NA,616
"67","AGM.PRD",NA,NA,NA,NA,662,NA,-79.24,NA,NA,NA,662
"68","AGM.PRE",3.18,"M",NA,NA,4091,NA,-7.21,NA,3180000,NA,4091
"69","AGM.PRF",4.8,"M",NA,NA,3236,NA,-63.91,NA,4800000,NA,3236
"70","AGO",80.81,"M",76.82,"M",5.07,"M",-11,6.6,80810000,76820000,5070000
"71","AGO.PRB",NA,NA,NA,NA,350,NA,-29.29,NA,NA,NA,350
"72","AGO.PRE",NA,NA,NA,NA,6260,NA,-26.59,NA,NA,NA,6260
"73","AGO.PRF",NA,NA,NA,NA,1953,NA,-4.12,NA,NA,NA,1953
"74","AGR",309.01,"M",56.7,"M",2.22,"M",-27.99,3.92,309010000,56700000,2220000
"75","AGRO",118.19,"M",118.19,"M",767748,NA,-1.99,0.65,118190000,118190000,767748
"76","AGS",35.77,"M",27.08,"M",869706,NA,7.87,3.21,35770000,27080000,869706
"77","AGX",15.69,"M",14.95,"M",226250,NA,3.51,1.51,15690000,14950000,226250
"78","AHC",18.94,"M",18.38,"M",27948,NA,-17.37,0.15,18940000,18380000,27948
"79","AHH",59.3,"M",56.86,"M",756916,NA,5.83,1.33,59300000,56860000,756916
"80","AHH.PRA",9.98,"M",NA,NA,6117,NA,-35.6,NA,9980000,NA,6117
"81","AHL.PRC",NA,NA,NA,NA,8636,NA,92.64,NA,NA,NA,8636
"82","AHL.PRD",NA,NA,NA,NA,37642,NA,18.09,NA,NA,NA,37642
"83","AHL.PRE",NA,NA,NA,NA,22988,NA,2.34,NA,NA,NA,22988
"84","AHT",68.94,"M",65.24,"M",1.57,"M",-18.96,2.41,68940000,65240000,1570000
"85","AHT.PRD",1.79,"M",NA,NA,20057,NA,4.75,NA,1790000,NA,20057
"86","AHT.PRF",2.78,"M",NA,NA,1766,NA,-84.11,NA,2780000,NA,1766
"87","AHT.PRG",4.34,"M",NA,NA,39486,NA,70.88,NA,4340000,NA,39486
"88","AHT.PRH",2.58,"M",NA,NA,13015,NA,-38.64,NA,2580000,NA,13015
"89","AHT.PRI",3.27,"M",NA,NA,3841,NA,240.21,NA,3270000,NA,3841
"90","AI",92.35,"M",36.09,"M",1.97,"M",-10.09,5.45,92350000,36090000,1970000
"91","AIC",NA,NA,NA,NA,592,NA,-4.67,NA,NA,NA,592
"92","AIG",864.79,"M",864.06,"M",10.83,"M",5.02,1.25,864790000,864060000,10830000
"93","AIG.PRA",NA,NA,NA,NA,139334,NA,32.38,NA,NA,NA,139334
"94","AIN",30.72,"M",30.47,"M",601829,NA,-4.18,1.97,30720000,30470000,601829
"95","AIR",35.3,"M",33.41,"M",1.02,"M",-15.83,3.06,35300000,33410000,1020000
"96","AIRC",148.87,"M",146.44,"M",1.74,"M",-62.5,1.19,148870000,146440000,1740000
"97","AIT",38.76,"M",38.16,"M",496146,NA,-8,1.3,38760000,38160000,496146
"98","AIV",148.87,"M",145.14,"M",7.43,"M",-23.82,5.12,148870000,145140000,7430000
"99","AIW",NA,NA,NA,NA,243,NA,-53.63,NA,NA,NA,243
"100","AIZ",59.65,"M",57.31,"M",2.55,"M",41.83,4.45,59650000,57310000,2550000
"101","AIZN",10,"M",NA,NA,13318,NA,4.27,NA,1e+07,NA,13318
"102","AIZP",NA,NA,NA,NA,7847,NA,895.81,NA,NA,NA,7847
"103","AJAX",80.5,"M",NA,NA,700792,NA,35.47,NA,80500000,NA,700792
"104","AJG",193.74,"M",191.68,"M",1.88,"M",-12.64,0.98,193740000,191680000,1880000
"105","AJRD",77.53,"M",75.6,"M",7.48,"M",-10.95,9.89,77530000,75600000,7480000
"106","AJX",22.93,"M",20.62,"M",283471,NA,2.4,1.37,22930000,20620000,283471
"107","AJXA",4.63,"M",NA,NA,3343,NA,10.66,NA,4630000,NA,3343
"108","AKR",86.28,"M",85.61,"M",1.62,"M",-26.62,1.89,86280000,85610000,1620000
"109","AL",113.87,"M",106.01,"M",6.27,"M",-7.53,5.92,113870000,106010000,6270000
"110","AL.PRA",NA,NA,NA,NA,19399,NA,354.1,NA,NA,NA,19399
"111","ALB",116.63,"M",116.17,"M",2.21,"M",-35.07,1.9,116630000,116170000,2210000
"112","ALC",499.7,"M",499.7,"M",4.04,"M",-19.11,0.81,499700000,499700000,4040000
"113","ALE",51.97,"M",51.7,"M",1.09,"M",13,2.11,51970000,51700000,1090000
"114","ALEX",72.35,"M",71.16,"M",775600,NA,-8.02,1.09,72350000,71160000,775600
"115","ALG",11.88,"M",11.52,"M",171905,NA,-17.21,1.49,11880000,11520000,171905
"116","ALIN.PRA",NA,NA,NA,NA,4151,NA,-1.77,NA,NA,NA,4151
"117","ALIN.PRB",NA,NA,NA,NA,14135,NA,228.64,NA,NA,NA,14135
"118","ALIN.PRE",NA,NA,NA,NA,13221,NA,0.53,NA,NA,NA,13221
"119","ALK",124.22,"M",123.6,"M",3.29,"M",-5.61,2.66,124220000,123600000,3290000
"120","ALL",302.87,"M",301.54,"M",3.56,"M",-10.58,1.18,302870000,301540000,3560000
"121","ALL.PRB",NA,NA,NA,NA,51846,NA,-48.37,NA,NA,NA,51846
"122","ALL.PRG",NA,NA,NA,NA,62548,NA,13.68,NA,NA,NA,62548
"123","ALL.PRH",NA,NA,NA,NA,105180,NA,6.25,NA,NA,NA,105180
"124","ALL.PRI",NA,NA,NA,NA,22432,NA,-15.56,NA,NA,NA,22432
"125","ALLE",92.04,"M",90.24,"M",2.42,"M",-5.06,2.68,92040000,90240000,2420000
"126","ALLY",374.67,"M",372.58,"M",8.34,"M",-5.14,2.24,374670000,372580000,8340000
"127","ALLY.PRA",NA,NA,NA,NA,64286,NA,26.12,NA,NA,NA,64286
"128","ALP.PRQ",NA,NA,NA,NA,14615,NA,-49.24,NA,NA,NA,14615
"129","ALSN",111.94,"M",111.08,"M",3.06,"M",9.17,2.75,111940000,111080000,3060000
"130","ALTG",30.02,"M",22.15,"M",925092,NA,-7.74,4.18,30020000,22150000,925092
"131","ALTG.PRA",1.2,"M",NA,NA,5135,NA,68.58,NA,1200000,NA,5135
"132","ALUS",28.75,"M",28.65,"M",1.23,"M",11829.73,4.31,28750000,28650000,1230000
"133","ALV",87.36,"M",87.21,"M",1.71,"M",50.27,1.96,87360000,87210000,1710000
"134","ALX",5.11,"M",2.12,"M",96545,NA,-9.79,4.56,5110000,2120000,96545
"135","AM",476.91,"M",305.78,"M",8.41,"M",-12.34,2.75,476910000,305780000,8410000
"136","AMBC",45.81,"M",45.3,"M",3.78,"M",-1.23,8.35,45810000,45300000,3780000
