"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"1","A",306.85,"M",305.37,"M",2.27,"M",-9.42,0.74,306850000,305370000,2270000
"2","AA",185.98,"M",184.77,"M",8.76,"M",-0.64,4.74,185980000,184770000,8760000
"3","AAIC",35.02,"M",32.38,"M",913933,NA,5.19,2.82,35020000,32380000,913933
"4","AAIC.PRB",343839,NA,NA,NA,2387,NA,81.8,NA,343839,NA,2387
"5","AAIC.PRC",1.17,"M",NA,NA,3456,NA,158.3,NA,1170000,NA,3456
"6","AAN",33.78,"M",33.09,"M",525866,NA,-27.35,1.59,33780000,33090000,525866
"7","AAP",67.85,"M",67.52,"M",3,"M",6.57,4.44,67850000,67520000,3e+06
"8","AAT",60.47,"M",48.05,"M",1.08,"M",8.71,2.25,60470000,48050000,1080000
"9","AB",96.07,"M",92.45,"M",295476,NA,23.33,0.32,96070000,92450000,295476
"10","ABB",NA,NA,2.09,"B",2.99,"M",-45.81,0.14,NA,2.09e+09,2990000
"11","ABBV",1.77,"B",1.76,"B",12.59,"M",-5.55,0.71,1.77e+09,1.76e+09,12590000
"12","ABC",204.69,"M",147.34,"M",3.04,"M",15,2.06,204690000,147340000,3040000
"13","ABEV",15.74,"B",NA,NA,81,"M",16.23,NA,1.574e+10,NA,8.1e+07
"14","ABG",19.29,"M",19.07,"M",2.06,"M",-4.72,10.82,19290000,19070000,2060000
"15","ABM",66.76,"M",65.5,"M",911836,NA,5.52,1.39,66760000,65500000,911836
"16","ABR",123.4,"M",115.72,"M",4.87,"M",-6.89,4.21,123400000,115720000,4870000
"17","ABR.PRA",1.55,"M",NA,NA,448,NA,-31.18,NA,1550000,NA,448
"18","ABR.PRB",NA,NA,NA,NA,1651,NA,26.22,NA,NA,NA,1651
"19","ABR.PRC",NA,NA,NA,NA,1544,NA,37.98,NA,NA,NA,1544
"20","ABT",1.77,"B",1.76,"B",8.9,"M",-10.41,0.51,1.77e+09,1.76e+09,8900000
"21","AC",3.34,"M",3.28,"M",46983,NA,-10.99,1.43,3340000,3280000,46983
"22","ACA",48.27,"M",47.7,"M",631643,NA,-0.81,1.32,48270000,47700000,631643
"23","ACB",184.19,"M",182.77,"M",33.22,"M",-3.4,18.18,184190000,182770000,33220000
"24","ACC",137.63,"M",136.56,"M",3.73,"M",4.61,2.73,137630000,136560000,3730000
